data,timeStamp,dataType
100,1586128830.8706567,random Float
7,1586128830.870685,random Float
23,1586128830.8707,random Float
95,1586128830.8707128,random Float
17,1586128830.8707256,random Float
25,1586128830.870738,random Float
27,1586128830.8707497,random Float
1,1586128830.8707626,random Float
3,1586128830.8707747,random Float
50,1586128830.870787,random Float
29,1586128842.588033,random Float
31,1586128842.5880682,random Float
37,1586128842.588084,random Float
21,1586128842.588097,random Float
82,1586128842.5881093,random Float
56,1586128842.5881224,random Float
58,1586128842.5881343,random Float
22,1586128842.5881467,random Float
97,1586128842.5881586,random Float
57,1586128842.588171,random Float
